customer_text_clean,spotify_text_clean,intent
why you playin. Give us a solid iPhone X update.,Hey Chad! We’re working on it as we speak. Stay tuned! /LO,App / Device Issue
Well that’s not the iOS update I wanted. Where’s the #iPhoneX support?,"Hey Dean! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /GU",App / Device Issue
"Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" & shuffle again. THIS IS NOT IMPROVEMENT!","Thanks for letting us know. Rest assured, we'll definitely be passing your feedback on this to the right team! /CB",Feature Request / Product Feedback
Spotify on my browser and on my phone both seem to be down,"Hi Hunter, help's here! Can you let us know what's happening exactly? We'll see what we can suggest /DV",App / Device Issue
America.,"Thanks. We'd love to have it available in your country, but there's more info about Spotify content here: /MC",General / Other Support
"laver vrøvl hver gang den skal afspille en reklame. Den hopper væk fra playlisten, og over på radio ud fra et tilfældigt nummer fra listen. Eller stopper helt med at spille. Den skriver playback fall. Hvad kan jeg gøre?","Hey Morten! We don't offer Danish support right now, so we hope you don't mind if we reply to you in English. Can you let us know the device, OS, and Spotify version you're running? We'll see what we can suggest /DB",Playback / Streaming Issue
I don't even tweet...but if isn't extortionate enough. They want to charge me twice then have me jump through hoops for a refund...jokers,Hey there! Can you fire over your account's username or email address via DM? We'll see what's happening backstage /JM,Premium / Billing / Subscription
The Running Playlist Steps/minute feature is revolutionary. Thank you! One request is a feature to control how long the music clips are. Keep being awesome!,"Hey there, nice idea! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DQ",Feature Request / Product Feedback
I do not like this change ....I don't even remember upgrading to this either tbh,Hey! Help's here. Can you tell us more about what's happening? We'll see what we can suggest /RA,General / Other Support
why is the Prist Noel album not working,Hey Michael! What's happening exactly? Can you send us the URI? Just right-click the album > Share > URI /RH,General / Other Support
"I have the roku streaming stick and wanted to listen to Spotify but the UI is ugly as sin, there’s no playlist options. It looks like you guys haven’t updated or supported it for a decade",We hear you. We have some info about the Spotify app on Roku here: Give us a shout if there's anything else /TR,Playback / Streaming Issue
"Hi there! We're afraid that we currently don't offer Finnish support, but we can help out in English. How can we lend a hand? We'll see what we can suggest /AK",Gotcha! Could you DM us your account's email address so we can check backstage? /FJ,Feature Request / Product Feedback
"I am using it on my Windows PC updated to latest version on my widows 7 computer. No other issues, just some songs on my list are greyed out","Can you send us the Spotify URI of some? Just right-click the track > Share > URI. Also, what country is your Spotify account set to? /PB",App / Device Issue
"Why can't you unlike a song on ? I meant to click ""dislike"" and now I'm going to be forced to listen to shitty music","Hi there! We don't have any info on this right now, but you can show your support for a similar idea here to help make it happen: Let us know if you have any other questions /NY",General / Other Support
wtf since I got ios11 my phone doesn’t recognise spotify n I have to go on it just to skip songs or pause or change volume ?????,Hey Yasmin! Can you let us know the model of your iPhone and the version of Spotify? We'll see what we can suggest /CX,App / Device Issue
"It's been 2 years since someone had this idea, and Spotify still hasn't implemented it. Support this!","We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",General / Other Support
Really getting pissed off that my app keeps stopping every time an ad comes on the screen. Happens every time.,"Hey there! Can you DM us your account's email address, a name of an ad this is happening with, and your Spotify version? /CH",Playback / Streaming Issue
stupid app won’t work! iOS 11.2 I click login and is unresponsive 😡,"Hey, that doesn't sound good! Try restarting your device by holding Home + Lock for 10 seconds. Does that help? /YM",Account / Login
"Every single comment on that thread, going back through multiple pages, is saying exactly what I'm saying.","Rest assured that our devs are monitoring the feedbacks posted on the thread, but we’ll also pass this onto the right folks /GU",General / Other Support
It appears I've forgotten the email which I use to log in! And when I try with my username the password is wrong!,No worries! Can you DM us your account's username and any email addresses it might be linked to? We'll check it out 🔍 /TY,Account / Login
Why is atom bomb baby not available in the US? to whom do I need to direct my angry tweets?,"Hey Alex! Fingers crossed we'll be able to have them soon, but there's info about Spotify content here: /TF",Music / Content Availability
I'm losing a bunch of music from my downloaded library. What's happening?,Hey John! Check out the steps under “Downloads unexpectedly removed” at They should help with this 🙂 /CG,General / Other Support
what's the point in having an offline feature if it never works? Downloaded songs and can't listen to them without signal/WiFi. 😧🤔,"Hey, that doesn't sound cool! Can you DM us your account's email address? We'll check backstage /LW",Playback / Streaming Issue
. I have moved from US to DK and I need to change my country settings. The guide on the website does not work.,Hey Jeppe! Help's arrived. Can you send us your account's email address or username? We'll see what we can suggest /KM,General / Other Support
"Hey guys, I tried to update my payment method and add my Aussie visa credit card but it tell me that the card is for a ""non-spotify country""? I'm trying to migrate my account from France to Australia since I live here now and I can't do that unless I use an Aussie card",Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA,Premium / Billing / Subscription
"Sadly not just tried it there! So weird that some of my music is working but others don’t, add to the list","Just to check, is this happening on 3/4G, WiFi, or both? /KM",General / Other Support
"Streaming isn’t working, for ex. I can’t listen to any of the xx. And all my offline playlist disappeared.",Thanks. Can you DM us your account's username or email address? We'll take a look backstage /JP,Playback / Streaming Issue
I upgraded to premium and it's not working on my phone. Logged out / back in + reinstalled the app and everything #HELP,2: Can you try logging out > restarting the device > logging one more time? Let us know how it goes /MQ,Premium / Billing / Subscription
I Guess There Wont Be A Spotify App For The Apple Watch Any Time Soon ! 😩,"Fingers crossed we'll have it available in the future. If you need anything else, just shout and we'll come running 🏃 /FR",General / Other Support
I fucking LOVED 503 Service Unavailable error as a teenager! Well done !,Hey. Could you try to refresh the page? You can also give it another shot using a private browser or an incognito window. Keep us posted /AY,Music / Content Availability
Can you refund a student discount retroactively if I forgot to update it after a year?,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,Premium / Billing / Subscription
"That doesn't fix anything. Happening across multiple devices after iOS 11, and on a brand new iPhone too :(","Hmm, that's odd. Can you let us know the devices you're using? We'll see what we can suggest /MX",App / Device Issue
i have a question,Hey! We've just replied to your DM. Check it out. We'll continue helping there /RE,General / Other Support
"Hey Spotify! Thanks for the response! What I️ meant was killed the game with her new album #unapologetically & my account wont let me stream it after about the 10th time through. So I️ was being snarky about my “problem” . Lol KBs biggest fan, Laura",We understand. We'd still like to check things backstage. Can you send us your account's email address or username via DM? /GU,General / Other Support
. i see you increasing slowly increasing the of adverts it is not appreciated,"Hi! Thanks for your feedback - we'll pass it on. For now, check out if you haven't had a subscription before /JM",General / Other Support
"When casting to my Google Home on shuffle, Spotify only shuffles a few songs near the first song instead of my whole library. :(",Hey there! Thanks for the report. The right team are aware of this issue between Shuffle and Connect and they're investigating as we speak /PL,Spotify Connect / External Devices
"My company want to cooprate with spotify, who can i contact with for this business thing? pls hurry up",Hi there! We've just sent you a bit more info over DM /MA,General / Other Support
and social media apps should make it possible to attach a song to a photo you want to post. Have a 15 second snip of the song.. hmm?? #ideas #makeithappen #please,"Hey Amber, this sounds like a great idea! Suggest it in our Community at and get support from other users /KM",General / Other Support
messaged,Hey! We've just sent a DM your way. Let's carry on chatting there /NQ,General / Other Support
"Yes I took those steps. I hope it is over now, if not - like some of the cases described here: - i will report back.","We understand, and thanks for the heads up. You know where to find us if you need anything else 🙂 /DN",General / Other Support
How do i update my payment info? I don't see a way on the website.,Hi Ray! You should be able to do so by following the steps at /DV,Premium / Billing / Subscription
"Hi, how do I change my profile - username? I've tried account, edit profile and there's no edit button? Is it possible to change? Thanks",Hey there! Can you DM us your account's username or email address? We'll take a look backstage /AP,Account / Login
"när kommer funktionen att man kan se vilka låtar man (som enskild användare) har spelat mest per vecka, månad, år, nånsin?",Hey! We have Swedish support via email at but we can also help out in English via Twitter. Can you let us know what's happening exactly? We'll see what we can suggest /AN,General / Other Support
"EXCUSE ME , ARE U TELLING ME THAT IN THIS, THE YEAR OF OUR LORD 2017, I CANNOT REORDER A DANG PLAYLIST?????? AND I AM PAYING YOU MONEY? girl, bye","Hey Alison! What device are you using? If you need help, let us know and we'll explain how to get things reorganised 🙂 /J",General / Other Support
any idea why Spotify premium keeps saying ‘cannot play song’ on multiple tracks and artists?,"Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",Premium / Billing / Subscription
It's 2017. Why can't let me move my songs on my playlists without making me delete and re-add them?,Hey there! Can you tell us more about what's happening exactly? Could you also let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR,General / Other Support
how do i follow my daughter on spotify who doesnt have a facebook account but has a a spotify account?,Hey there! We have more info about this here: Let us know if you have any questions /MC,General / Other Support
Dm sent.,Thanks! Can you also send us the emails of your Family members that were removed? We'll take a closer look /DH,General / Other Support
"god bless ya Spotify, you really do care :’)",Thanks for the kind words! Give us a shout if you ever need us again. We'd be... /KB,General / Other Support
"Well the King of China just released his new album ""SHEEP"" and it's not available on Spotify yet",We're sorry you feel that way. Music availability all boils down to licensing agreements. We have more info at /LM,Music / Content Availability
Okay . How the hell does my music KEEP getting paused even after changing my Facebook password AND using the log out everywhere?,"Hey, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",Account / Login
"Hey, , my account is frozen on an ad and won't play in any browser. Can't play the ad OR my music. Pls help!","Hi Ashley, help's here! We'd suggest logging and closing the browser. Afterwards, try re-aunching the web player. Keep us posted /MG",Playback / Streaming Issue
"here's the latest page, . if yr curious.","Hey, that's not cool! Could you try reinstalling your Spotify app? Also, head to the Spotify Settings > Start up and Window Behaviour, and make sure you allow Spotify to be opened from the web. Let us know how everything plays out /JM",General / Other Support
why don't you guys give pre sale codes unique to one person?,"2: Are you having any issues on a specific pre-sale code? If so, can you let us know more details via DM? We'll take a look for you /NJ",General / Other Support
I just signed up for premium in hopes of having cheaper and it didn't work. I'm so annoyed.,Hey there! What's happening exactly? Can you DM us your account's email address or username? We'll see what we can suggest /PB,Premium / Billing / Subscription
can you help me? I can't play the new Grizzly Bear album.,"Hey Christopher, help's here! Can you DM the device/OS you're using? Any screenshots of what's happening would be helpful as well /TR",Playback / Streaming Issue
"half my music won't play! Trying to listen to Grimes but nothing happens when I tap, same with Florence, Hozier playing fine","Hey Tom, help's here! Does an error code appear when you try to play their music? Keep us posted 🙂 /CG",Playback / Streaming Issue
Pissed with Spotify PH. I reg for Php 9 for three months and still get an ADD? What the hell is happening? SOS. What is your email add for support?,"Hey there! We'd recommend deleting your previous tweets as they contain your personal info. You can get in touch with our email team at but we'll also be happy to help on Twitter. If you'd like to continue here, just send us a DM /JO",General / Other Support
"My keeps pausing and turning itself off? (Nobody else is logged in / it’s not synced to anything, I’ve only had it a few days) 🤔","Hey Rebecca, help's here! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted /PX",Account / Login
Upgraded to Premium for Fam Spotify. Every time I click on Premium for Fam it takes me back to the join Premium for Fam page,"Hi Henry, help's here! Could you DM us your account's username and email address? We'll take a look backstage 🔍 /JQ",Premium / Billing / Subscription
"New request: blocking certain artists from playlists/discover. Cause let's be real, who actually wants to listen to Chris Brown?","Hey Erin! This isn't possible right now, but you can show your support for the idea in our Community: /NS",General / Other Support
Hi hello Spotify cares mine is still pausing and playing as well as changing songs,Hey there! Can you DM us your account's email address and username? We'll take a look backstage /MX,General / Other Support
Hey! Yeah I noticed it while ago! Thanks!☺️,"Awesome! If you ever need us again, feel free to drop us a tweet. Have a... 😁 /JE",General / Other Support
"That's a must have on road trips! Seriously, you can build amazing things, but you won't add this basic and neccesary feature? Looks like and don't really care 🤷🏽‍♂️",We appreciate the feedback on this! Rest assured we've passed this directly along to the right folks here /M,Feature Request / Product Feedback
"Ok thanks, hopefully in the future Spotify can provide option to change the auto-generated username that created through Facebook with editable username. Thanks for the support Spotify! Greeting from Indonesia 🇮🇩","Not to worry, we'll make sure to pass on your feedback. For anything else, we're just a tweet away. Have a... /JP",Account / Login
"Greetings, any chance of you adding the album 'Highlights In Slow Motion' by Richard J Parfitt to your content? Can't find it anywhere and it was a cracking album. Cheers.","Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /LS",General / Other Support
An iPhone SE and yes this is the first time I’ve seen this.,"Got it. Can you try logging out, restarting the app, then logging back in? Let us know how it goes /SJ",App / Device Issue
please tell me you’re doing a “Your Top Songs of 2017” personalized playlist. i’ve been anticipating it all year and i’m not self-aware enough to know what my favorite songs are.,"Hi Tabitha! We currently don't have any info on this yet, but keep an eye out for any updates from us about this anytime soon. Let us know if you have any other questions /NY",General / Other Support
y'all charged me twice and it's still not updating my account! Help! Check DM's!,Hey Carmine! We've just sent a DM your way. We'll help you out there 🙂 /Q,Premium / Billing / Subscription
"Hvis man allerede har spotify, kan man fortsatt få tilbudet?","Hey! We can help out in English via Twitter, but we also have Norwegian support via email at /DF",General / Other Support
"why is the web player not working?? Keeps stopping randomly and won't play, driving me crazy 😤😤","Hi Gloria, help's arrived! Can you let us know your device's operating system and browser version? We'll see what we can suggest /GT",Playback / Streaming Issue
you fuckers take away touch preview but come out with this??? see you soon bb ❤️,"Hey Devon! Thanks for sharing your thoughts, we'll pass it on to the relevant folks /SY",General / Other Support
Hello. My card was charge for 4.990 IDR but still free status. Wish you can help me. Thx. My ID __email__,"Hey Arif! For security purposes, we'd suggest deleting your previous message as it contains personal info. Can you send it over DM instead? We'll be waiting /AN",Premium / Billing / Subscription
"hi, is it possible to reset my account, or if I must delete it can I recreate it using the same email address?",Hi David! Could you send us a DM with your account's email address or username? We'll take a look backstage /DR,General / Other Support
There is a bug when i am setting up my artist page through spotify,"Hey, sorry to hear this! Can you let us know what's happening exactly? We'll see what we can suggest /GS",General / Other Support
"iPhone 6s Plus , iOS 11.0.2, and Spotify version 8.4.20.535","Thanks! Just to confirm, is this happening via WiFi or 3/4G? Also, have you tried logging out and back in? Keep us posted /BH",App / Device Issue
can suck my dick. It never wants to work.,"Hey Ashley! We had a little hiccup backstage, but it should be working now. We're here if you need us /FR",General / Other Support
So I have to make a new account if I want a different username?,We'd recommend having only one account to avoid confusion in the future. Thanks for your feedback 🙂 /SY,Account / Login
when ya updating your app to support iPhone X? App looking ugly af... xo,Hey there! Thanks for sharing your thoughts. We’re working on this as we speak. Stay tuned /LP,App / Device Issue
I have logged in to multiple devices as well. All iPhones with iOS 11 updates. Same problem,Hmm. Could you give us the exact iOS 11 and Spotify app versions you're using? We'll see what else we can suggest /JU,Account / Login
11.0.3 os. Spotify 8.4.26.793,Thanks. Can you try logging out > restarting your phone > logging back in? Let us know if that makes a difference /RH,General / Other Support
Trying to get allll my songs back on Spotify why did they all erase😭 f u,2: this just happening with some tracks or playlists? We'll see what we can suggest /CH,General / Other Support
MacOs high Sierra. Its pretty much done this since the beginning of time. Spotify 1.0.65.320.gac7a8e02,We're sorry to hear that. Can you try the steps here for us: Keep us posted /MV,General / Other Support
Unfortunately i havent been able to reset my password and re access my account . Any advice on what to do next ?,"Hmm, can you DM us your account's email address? We'll take a look backstage /MV",Account / Login
Its not fair that Isnt avail in me country .,Hey there! We're launching regularly in countries around the world. Be sure to add your email at /MA,General / Other Support
"I was charged £9.99 premium this month when I have student premium, £4.99 a month. Can you sort this please?","Hi there, we've replied to your DM! We'll continue assisting you over there 🙂 /DQ",Premium / Billing / Subscription
"All tracks, it starts normal then fades into that. Im using OSX El Capitan. I am using the online web player",Got it! Could you try opening the web player in an incognito/private window? Keep us posted /RK,General / Other Support
"#Chromecast implementation is a desaster. Long gaps (5s) betw. songs, listening live/concept albums a torture. pls take care",2: tapping the three dots > Share > Copy Link. We'll take a look backstage /LM,Spotify Connect / External Devices
Why does the German podcast “fest und flauschig” refuse to play on spotify connect?,"Hi there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /NY",Spotify Connect / External Devices
Actually I see username is janetburke07 and email is __email__,"Thanks. We'd suggest deleting your previous tweets for security, as they contain your private info. Can you DM them to us instead? /AU",Account / Login
ik heb al Premium maar okay?,"Hey! We can help out in English via Twitter, but we also have Dutch support via email at /JC",Premium / Billing / Subscription
why am I getting charged $9.99/month when I'm supposed to have a student account? 3 months in a row! help pls,Hey Bridgette! Can you DM us your account's email address and username? We'll take a look backstage /SU,Premium / Billing / Subscription
why did y'all log me out of my account i have to download everything AGAIN,"Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help /RH",General / Other Support
"ive been charged with monthly premium charges h/ever when im about to cancel my subscription,it show that im not under premium","Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage /CG",Premium / Billing / Subscription
I have been experiencing a lot of connectivity issues with Chromecast lately. Did a recent update botch something?,Hey Don! We haven't received any other reports about this recently. Does restarting your devices and router help? /CX,Spotify Connect / External Devices
"Spotify refuses my payment for a 3 months premium subscription gift. Tried several credit cards. ""My bank not in the mood""?","Hey Jozef, help's arrived! Could you DM us your account's username or email address? We'll take a look under the hood /RE",Premium / Billing / Subscription
"4G. Wifi takes long to load, but at least it does something",Sorry about this. We appreciate your feedback on this issue. We’ll get this passed onto the right team /JQ,General / Other Support
is lucky I love it so much that I'm willing to put up with having to redownload all songs every other month or so.,"Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help /RH",General / Other Support
I DON'T GET PAID TIL NEXT WEEK PLEASE DON'T CANCEL MY PREMIUM PLAN BECAUSE I DON'T GET PAID ENOUGH MUSIC IS THE ONLY THING GETTING ME THROUGH THIS DARK TIME OF POORNESS,Hi Suzanne! Can you DM us your account's username or email address? We'll see what we can suggest /MU,Premium / Billing / Subscription
Need to resolve a problem with the weird family premium charges. please help!,Hey! What's happening exactly? Can you DM us your account's email address or username? We'll take a look backstage /PB,Premium / Billing / Subscription
I fr hate so much I can’t fucking update my subscription to premium I will stick to,"Hi, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO",Premium / Billing / Subscription
What if I’m already signed up for Spotify premium?,Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /PB,Premium / Billing / Subscription
Can't login to my account with facebook. please help,"Hey Tom, help's here! Could you DM us a link to your Facebook page? We'll take a look backstage /GU",Account / Login
"hey guys, any plans to add podcasts to Xbox app?","Hey Adam! We don't have any info to share right now, but we'll let the right team know it's something you'd like to see 🙂 /RI",Spotify Connect / External Devices
"Force closing Spotify temporarily fixes the issue, but then it will do it again quickly within the next session.",When did you start noticing this? Was it after a specific update? /NG,General / Other Support
"Here's my Spotify version, and my android is 7.0",Thanks! Would you mind closing the app > restarting your device > launching the app again to see if it helps? Keep us posted /AR,App / Device Issue
"hey, don't know if you know, but you can't control the volume on the Xbox one app from your phone like you could the computer. Would be very appreciated if you updated.",Hi Austin! We can see how that’d be handy. We can’t make any promises but we'll be sure to let the right team know it's something you'd like to see /JI,Spotify Connect / External Devices
when will we get iPhone X support????,"Hey Akeel! We don't have any specific info to share right now, but we're working on it. Stay tuned 💚 /NG",App / Device Issue
Tks. It is on an iPad. Can I advise in the morning when I get to work whar the other info is? Trying to have a day off today.,"Sure, no problem! We'll be on the lookout for your update /MT",App / Device Issue
my account just charged me a regular premium price when I’m supposed to be charged the student price? & signed me out of Hulu?,Hey there! Can you DM us your account's email address? We'll take a look /RB,Premium / Billing / Subscription
can you please add support for the #iPhoneX. One of the top apps on the App Store and no update yet? 🤔,"Hey Jordan! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /BP",App / Device Issue
Help I try to reset my password but when I click forgot password and put in my username It says CSRF token invalid! Pls dm me!,Hi there! We've just sent a DM your way. Let's carry on chatting there /FR,Account / Login
". Hoping you can help - my subscription reset this morning with my phone provider, but not able to access premium.","Hey Anj, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO",Premium / Billing / Subscription
"why don't you have the full album available?! Foster the people, smashing pumpkins... I do pay for premium...","Hi Irie! Just to check, which of their songs are you looking for? Could you let us know which country you're in? We'll take a look /GT",Premium / Billing / Subscription
"I've read that yes, but I mean the actual playlists itself, not the tracks in the playlists. Instead of doing that manually.",We understand. We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝,General / Other Support
Thank you!,"You're welcome! If anything else comes up, just pop a message over. We're here around the clock 🙂 /BH",General / Other Support
"I have a new phone, forgot my password, got a link to reset my password but keep saying ""CSRF token is invalid.."" when I try to reset my password to log in to spotify. What is that? Need urgent help, please",Hi there! Help's here. Can you DM us your account's email address or username? We'll take a look backstage /NQ,Account / Login
I have an LG Aristo... And use it to entertain my uber riders... Please don't let me done #Spotify,"Hey, help's here. Could you let us know the Android and Spotify versions on your device? If you're seeing any error messages, a screenshot of it would also be handy. We'll see what we can suggest /LP",General / Other Support
When ur playlist of 2000 songs magically is undownloaded,Hey! Sorry to hear that! See the steps under “Downloads unexpectedly removed” at They should help with this /RA,General / Other Support
why does ur app never work !!!!!!!!!!,"Hey Dayna! Could you send us some details about what's happening, along with any error messages you're seeing? We'll keep an eye out /MQ",General / Other Support
Hi I have the Spotify Family Plan. Is there any future plans to allow to invite more family members.,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see 💚 /RV",General / Other Support
"hey guys friendly reminder we’re still waiting on iPhone X update, also I hope y’all are having a good day.",Thanks for keeping us posted! Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon /CG,App / Device Issue
please help me get back into my spotify account. it got hacked and then your customer service apparently canceled my account and I can't use the chat or the help site because i can't log in.,No worries. This is something for our Accounts team. You should receive an email from them shortly /AR,Account / Login
will the spotify premium trial try to get me to pay /I don't want the apple ID thing to automatically renew the subscription,"Hi there, help's here! Can you DM us your account's email address? We'll take a look backstage /NY",Premium / Billing / Subscription
Why does twitter keep stopping my 😡,"Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /MS",General / Other Support
why did I get charged for Spotify premium yet they are only letting me use free?🤔,"Hi there, that doesn't sound good! Can you DM us your account's email address? We'll take a look backstage /AK",Premium / Billing / Subscription
I can't log in to my account and it's not recognising my username for a password reset. Get this.,Hey Gav! Can you send us your account's username or email address via DM? We'll take a look backstage /PL,Account / Login
"Yesssssssss man I love you guys. Screw Apple Music, it blows.",Aww. That made us blush! 💚 /XF,General / Other Support
The username is alarasati05,"Got it. We have some info to share with you in private. Just click the DM link, and we'll carry on helping there /MT",Account / Login
the app still shows the space being taken up but the Playlist are gone,Got it. Can you DM us the exact make and model of your device along with its Spotify and Android versions? We'll be right here for you /MT,General / Other Support
i have changed my password and logged out of all devices half a dozen times now fix this or i’m not paying anymore,"Hey Zoë, help's here! Can you DM us your account's email address? We'll take a closer look /BE",Account / Login
can't start Windows Desktop app right now. Any problems?,"Hey, that's not cool!Can you let us know the device, operating system, and Spotify app version you’re using? We'll see what we can suggest /JY",App / Device Issue
Everything on plays except for goin grey by ??? Explain,"Hey Maddie, can you send us the Song Link? Just tap the three dots > Share > Copy Link. Also, what country is your account set to? /SY",General / Other Support
has been working overtime on their daily mix algorithms and they are so good. Exposed me to a dozen artists in a week,Hey! Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team 💚 /NQ,General / Other Support
I've been unable to get help reinstalling my hacked account via online support. Need results.,Looks like you weren't able to reply to our previous message. Can you DM us your account's email address? We'll check under the hood /KM,Account / Login
"Deleted my facebook, and not I can't log into my Spotify to cancel my Premium account so I can make a new one. Help?",Hey Brittany! Can you DM us your account's email address? We'll see what we can suggest /JL,Premium / Billing / Subscription
Hi can you please add the Kesha and Nicki Minaj remix to Till the World Ends??,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /RA",Feature Request / Product Feedback
have charged me £9.99 for October because ended my student status!!! I've cancelled my Spotify premium because I'm angry,Hey there! Can you DM us your account's email address and username? We'll take a look backstage /SU,Premium / Billing / Subscription
i bought premium but it didn't work,Hey there! Can you DM us your account's email address? We'll take a look backstage /RB,Premium / Billing / Subscription
Hey why is this a thing despite it being a premium account?...,Hi! There's currently a 10k limit in Your Music (Songs + Albums + Artists). You can check out more info here: /WW,Premium / Billing / Subscription
"It happens in both situations, but it happens maybe like every few weeks, like once every 2 to 4 weeks sometimes",Hmm. Could you DM us your account's email address or username? We'd like to take a look backstage /JT,General / Other Support
"hallo, Saya sudah bayar utk langganan perpanjang. tapi sm sekali tak ada balasan tanda terima&akun saya perpanjangannya blm aktif","Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /DR",General / Other Support
Ughhhhhh. I need it! ☹️,"We understand. But sometimes agreements are ongoing, or can't be reached with the content provider /NQ",General / Other Support
For one payment,Hey! Help's arrived. Can you DM us your account's email address or username? We'll take a look under the hood /CP,Premium / Billing / Subscription
"well, webservice should be clear ;) as in your website... both chrome and firefox, on windows 7. The newest android app (updated just today) on... android o_o","1: Hmm, does the issue happen on both devices (app and web player)? Also, when did you notice that your Spotify is acting up?",App / Device Issue
"Said songs /albums are all free and easily available on every famous streaming service like Saavn, YouTube etc. Also on some mp3 songs websites","We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. If you have questions, give us a shout /XF",Playback / Streaming Issue
Thanks. Was hoping you might be helpful and confirm whether it is known/being addressed.,"Sorry to hear you feel that way. We'd be happy to keep helping out. Does logging out, restarting your phone, and logging back in help? /JE",General / Other Support
"Keep hearing about updates to Google Home on your blog, but none about Apple Watch app. Isn't the user base larger for the Watch?",Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: /RB,Spotify Connect / External Devices
WHICH HOE HACKED MY SPOTIFY I NEED NAMES THE WHOLE ADMINISTRATION BOUTTA GET THEIR SHIT ROCKED,Hey! Are you on a shared WiFi network? Can you also DM us your account's username or email address? We'll check things out for you /YM,General / Other Support
"when are you coming to south africa? we've been waiting patiently for too long now. do the thing please, thanks.",Hey there! We're launching in new countries as often as possible. Be sure to add your email at /GK,General / Other Support
I'm on the latest Spotify & I just updated to the latest iOS version. Tried logging out & back in & most of the songs still won't play.,Could you send us the links to some of the affected songs? It'd be great too if you could DM us your account's email address or username /AY,Playback / Streaming Issue
damn listen i didn’t expect spotify to come to my aid but HAHAHAH,No worries. We're always here if you need us. Just give us a shout 🙂 /AY,General / Other Support
Wig thank you!,"You're welcome! If you ever need us again, just give us a shout and we'll have... 💚 /RI",General / Other Support
"hello please give us the option to ""clear all"" for the ""recently played"" section 🙏",Hey there. We can see how that’d be useful! You can vote for the official idea here: /NS,General / Other Support
now the app doesn't even start!,"Just to check, have you tried restarting your device? In the meantime, can you send us your email address or username via DM? /DR",General / Other Support
Trying to redeem my premium gift card code and it's not working... Starting to get annoying now,Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM,Premium / Billing / Subscription
this improves social aspect + allows you to see which of your friends like the same artist for going to concerts etc.,"Hey! On the desktop app, you can go to the Artist Page > Look below Monthly Listeners to see which friends also listen to the artist 🙂 /KL",General / Other Support
question on student account. My college isn’t listed UTS what can I do to fix that?,"Hi, help's here! Can you DM us your account's email address? We'll take a look backstage /DV",General / Other Support
Hey saya udah tukar paket 3 bulanan dan sudah terkena charge di cc saya sampai 2x tapi akun saya ga berubah jadi premium ini gmn ya?,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /MG",Premium / Billing / Subscription
iPhone 7plus iOS 11.1.1 and not sure on app version,"Can you try logging out, restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds. then logging back in? /PB",App / Device Issue
I have lots of relatives who live in Saudi Arabia also and they were able to create their accounts.,"If they used a VPN to create their account, we're afraid we don't officially support that. Hopefully we'd be able to launch there soon /DR",General / Other Support
"OK thanks. If i cancel it now, is it cancel immediately or until the end of my subscription?",Could you send us a DM with your account's email address or username? We'll take a look backstage /DR,Premium / Billing / Subscription
Hey thanks for getting back! A laptop restart seems to have fixed it and turns out it was all my audio not just Spotify. 🤗,"Ahh, good news! We'll be right here if you need anything else. Happy listening 🙂 /T",General / Other Support
Yeah I’ve been back and fourth taking to customer service. They have told me they would email me back on those such occasions,Got it. Can you DM us your account's email address? We'll take a look backstage /SJ,General / Other Support
I want to cancel my account but it won't let me sign in !!!,"Hey Rebecca, help's here! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV",Account / Login
